сграда, зала, етаж, тип, места, компютърна, бяла дъска, проектор, крило

ФХФ, 210, 2, 3:1, 260, не, не, да, дясно
ФХФ, 130, 1, 3:1, 260, не, не, да, дясно
ФМИ, 01, 0, 3:1, 80, не, да, да, ляво
ФМИ, 02, 0, 3:1, 60, не, да, да, ляво
ФМИ, 101, 1, 3:1, 112, не, не, да, ляво
ФМИ, 200, 2, 3:1, 154, не, не, да, дясно
ФМИ, 229, 2, 3:1, 80, не, да, да, дясно
ФМИ, 325, 3, 3:1, 170, не, да, да, дясно
ФМИ, 326, 3, 3:1, 68, не, да, не, ляво
ФМИ, 500, 5, null, 56, не, да, да, дясно
ФХФ, 601, 6, null, 48, не, не, не, ляво
ФХФ, 603, 6, null, 40, не, не, не, дясно
ФХФ, 604, 6, null, 78, не, не, не, дясно
ФзФ, А207, 2, 3:1, 140, не, не, не, дясно
ФзФ, А209, 2, 3:1, 140, не, не, не, дясно
ФМИ, 013, 0, 1:1, 14, да, да, да, дясно
ФМИ, 014, 0, 1:1, 14, да, да, да, дясно
ФМИ, 018, 0, 1:1, 12, да, да, да, дясно
ФМИ, 019, 0, 1:1, 15, да, да, да, дясно
ФМИ, 020, 0, 1:1, 15, да, да, да, дясно
ФМИ, 107, 1, 1:1, 24, да, да, да, ляво
ФМИ, 120, 1, 1:1, 24, да, да, да, дясно
ФМИ, 122, 1, 1:1, 11, да, да, да, дясно
ФМИ, 222, 2, 2:1, 19, да, да, да, дясно
ФМИ, 306, 3, 1:1, 20, да, да, да, ляво
ФМИ, 309, 3, 1:1, 18, да, да, да, ляво
ФМИ, 313, 3, 1:1, 7, да, да, да, дясно
ФМИ, 314, 3, 2:1, 18, да, да, да, дясно
ФМИ, 320, 3, 2:1, 20, да, да, да, дясно
ФМИ, 321, 3, 1:1, 18, да, да, да, дясно
ФМИ, 323, 3, 1:1, 15, да, да, да, дясно
ФМИ, 03, 0, 1:1, 18, не, да, не, ляво
ФМИ, 04, 0, 1:1, 24, не, да, не, ляво
ФМИ, 210, 2, 1:1, 26, не, да, не, ляво
ФМИ, 217, 2, 1:1, 20, не, да, не, дясно
ФМИ, 302, 3, 1:1, 18, не, не, не, ляво
ФМИ, 303, 3, 1:1, 18, не, да, не, ляво
ФМИ, 304, 3, 1:1, 18, не, да, не, ляво
ФМИ, 305, 3, 1:1, 18, не, да, не, ляво
ФМИ, 307, 3, 1:1, 30, не, не, не, ляво
ФМИ, 308, 3, 1:1, 30, не, да, не, ляво
ФМИ, 310, 3, 1:1, 30, не, да, не, дясно
ФМИ, 311, 3, 1:1, 30, не, да, не, дясно
ФМИ, 401, 4, 1:1, 30, не, да, не, ляво
ФМИ, 404, 4, 1:1, 24, не, да, не, ляво
ФМИ, 405, 4, 1:1, 30, не, да, не, дясно
ФМИ, 501, 5, 1:1, 15, не, да, не, ляво
ФМИ, 514, 5, 1:1, 18, не, да, не, дясно
ФМИ, 526, 5, 1:1, 24, не, да, не, дясно
ФзФ, А305, 3, 1:1, 12, не, не, не, дясно
